-,-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Блок/ часть,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,По плану,Ауд.,СР,Конт роль,Интер  часы,Элект часы,з.е.,Итого,Лек,Лаб,Пр,Пр электр.,СР,СР электр.,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
-,Б1.В.ДВ.03.02,Серверное программирование,Б1.В,5,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.В.ДВ.04,Дисциплины по выбору Б1.В.ДВ.4,Б1.В,7,,,,,7,252,90,126,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,252,36,,54,126,36,,,,,,,,
+,Б1.В.ДВ.04.01,Модели и методы искусственного интеллекта,Б1.В,7,,,,,7,252,90,126,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,252,36,,54,126,36,,,,,,,,93
-,Б1.В.ДВ.04.02,Разработка интеграционных систем,Б1.В,7,,,,,7,252,90,126,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,252,36,,54,126,36,,,,,,,,389
+,Б1.В.ДВ.05,Дисциплины по выбору Б1.В.ДВ.5,Б1.В,8,,,,,5,180,32,112,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,8,,24,112,36,
+,Б1.В.ДВ.05.01,Системы искусственного интеллекта,Б1.В,8,,,,,5,180,32,112,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,8,,24,112,36,93
-,Б1.В.ДВ.05.02,Системы аналитической обработки данных,Б1.В,8,,,,,5,180,32,112,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,8,,24,112,36,389
+,Б1.В.ДВ.06,Дисциплины (модули) по выбору 6 (ДВ.6),Б1.В,,567,,6,,17,612,90,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,18,54,,6,216,,,36,180,,9,324,,,36,288,,,,,,,,,
+,Б1.В.ДВ.06.01,Командный проект по разработке программного обеспечения,Б1.В,,567,,6,,17,612,90,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,18,54,,6,216,,,36,180,,9,324,,,36,288,,,,,,,,,93
-,Б1.В.ДВ.06.02,Командный проект индустриальной разработки программного продукта,Б1.В,,567,,6,,17,612,90,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,18,54,,6,216,,,36,180,,9,324,,,36,288,,,,,,,,,389
+,Б1.В.ДВ.07,Дисциплины (модули) по выбору 7 (ДВ.7),Б1.В,8,,,8,,6,216,16,164,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,16,164,36,
+,Б1.В.ДВ.07.01,Бакалаврский семинар,Б1.В,8,,,8,,6,216,16,164,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,16,164,36,93
-,Б1.В.ДВ.07.02,Командный курсовой проект,Б1.В,8,,,8,,6,216,16,164,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,16,164,36,389
Блок 2.Практика ,,,,,,,,,21,756,,756,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
Обязательная часть ,,,,,,,,,21,756,,756,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
+,Б2.О.01,Учебная практика,Б2.О,,,2,,,3,108,,108,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б2.О.01.01(У),Ознакомительная практика,Б2.О,,,2,,,3,108,,108,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б2.О.02,Производственная практика,Б2.О,,,468,,,18,648,,648,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
+,Б2.О.02.01(П),Научно-исследовательская работа,Б2.О,,,4,,,3,108,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б2.О.02.02(П),Технологическая (проектно-технологическая) практика,Б2.О,,,6,,,6,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,93
+,Б2.О.02.03(П),Преддипломная практика,Б2.О,,,8,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,93
Блок 3.Государственная итоговая аттестация ,,,,,,,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,
+,Б3.01(Д),выполнение и защита выпускной квалификационной работы,Б3,,,,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,93
ФТД.Факультативы ,,,,,,,,,4,144,72,72,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,
+,ФТД.01,Архитектура вычислительных систем,ФТД,,3,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,ФТД.02,Основы системных представлений,ФТД,,5,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,389
К.М.Комплексные модули ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,К.М.01,Модуль 1,К.М,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
