-,-,-,Форма контроля,,,,з.е.,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра,
,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Факт,Часов в з.е.,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код,Наименование
+,Б1.О.44,Основы управленческой деятельности,,7,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.О.45,Документоведение и документооборот,,5,,,3,36,108,108,36,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,18,72,,,,,,,,,,,,,,,,,,,,,,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.О.46,Акмеология,,7,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,21,,756,756,414,414,306,36,,,,,,,,,,,,,,,3,108,18,,36,54,,7,252,54,36,36,90,36,5,180,36,,72,72,,1,36,,,18,18,,5,180,36,,72,72,,,,,,,,,,
+,Б1.В.01,Междисциплинарный курсовой проект,,7,,7,2,36,72,72,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,36,36,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.02,Безопасность операционных систем,,4,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,3,108,36,36,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.03,Защита программ и данных,4,3,,,7,36,252,252,108,108,108,36,,,,,,,,,,,,,,,3,108,18,,36,54,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.04,Английский язык для профессиональных целей,,56,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,36,36,,1,36,,,18,18,,,,,,,,,,,,,,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,,7,,,3,,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,
+,Б1.В.ДВ.01.01,Основы вычислительного эксперимента,,7,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
-,Б1.В.ДВ.01.02,Численные методы,,7,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,,5,,,3,,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.В.ДВ.02.01,Параллельное программирование,,5,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,359,Кафедра высокопроизводительных вычислений (ВПВ_ИКИТ)
-,Б1.В.ДВ.02.02,Конечные поля и многочлены над ними,,5,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
Блок 2.Практика ,,,,,,,18,,648,648,,,648,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,9,324,,,,324,,,
Обязательная часть ,,,,,,,6,,216,216,,,216,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б2.О.01(У),Ознакомительная практика,,24,,,6,36,216,216,,,216,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,12,,432,432,,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,9,324,,,,324,,,
+,Б2.В.01(П),Эксплуатационная практика,,,6,,3,36,108,108,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б2.В.02(П),Преддипломная,,,8,,9,36,324,324,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
Блок 3.Государственная итоговая аттестация ,,,,,,,9,,324,324,14,14,274,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,14,,,274,36,,
+,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,,,,,6,36,216,216,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,8,,,,3,36,108,108,14,14,58,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,14,,,58,36,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
ФТД.Факультативные дисциплины ,,,,,,,4,,144,144,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,
+,ФТД.01,Основы стеганографии,,6,,,2,36,72,72,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,ФТД.02,Цифровая обработка сигналов,,5,,,2,36,72,72,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
