ОПК-4,,,"Способен анализировать физическую сущность явлений и процессов, лежащих в основе функционирования микроэлектронной техники, применять основные физические законы и модели для решения задач профессиональной деятельности;",ОПК
,ОПК-4.1,,Применяет основные физические законы и модели для решения задач профессиональной деятельности,-
,,Б1.О.35,Физика,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-4.2,,"Владеет методами анализа физической сущности явлений и процессов, лежащих в основе функционирования микроэлектронной техники",-
,,Б1.О.37,Электроника и схемотехника,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-5,,,"Способен применять нормативные правовые акты, нормативные и методические документы, регламентирующие деятельность по защите информации;",ОПК
,ОПК-5.1,,"Применяет документы, регламентирующие деятельность по защите информации",-
,,Б1.О.05,Основы информационной безопасности,
,,Б1.О.06,Организационное и правовое обеспечение информационной безопасности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-5.2,,"Способен выбирать действующие нормативные правовые акты, нормативные и методические документы в рамках поставленных задач",-
,,Б1.О.05,Основы информационной безопасности,
,,Б1.О.06,Организационное и правовое обеспечение информационной безопасности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-6,,,"Способен при решении профессиональных задач организовывать защиту информации ограниченного доступа в автоматизированных системах в соответствии с нормативными правовыми актами, нормативными и методическими документами Федеральной службы безопасности Российской Федерации, Федеральной службы по техническому и экспортному контролю;",ОПК
,ОПК-6.1,,Организовывает защиту информации ограниченного доступа в автоматизированных системах при решении профессиональных задач,-
,,Б1.О.07,Защита информации от утечки по техническим каналам,
,,Б1.О.52,Комплексная защита информации,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-6.2,,"Способен выбирать действующие нормативные правовые акты и нормативные   методические документы Федеральной службы безопасности Российской Федерации, Федеральной службы по техническому и экспортному контролю при решении профессиональных задач",-
,,Б1.О.07,Защита информации от утечки по техническим каналам,
,,Б1.О.52,Комплексная защита информации,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-7,,,"Способен создавать программы на языках общего назначения, применять методы и инструментальные средства программирования для решения профессиональных задач, осуществлять обоснованный выбор инструментария программирования и способов организации программ;",ОПК
,ОПК-7.1,,Применяет методы и инструментальные средства программирования для решения профессиональных задач,-
,,Б1.О.41,Языки программирования,
,,Б1.О.42,Языки программирования. Дополнительные разделы,
,,Б1.О.43,Технологии и методы программирования,
,,Б1.О.44,Параллельное программирование,
,,Б2.О.01(У),Ознакомительная практика,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-7.2,,Осуществляет обоснованный выбор инструментария программирования и способов организации программ для решения профессиональных задач,-
,,Б1.О.41,Языки программирования,
,,Б1.О.42,Языки программирования. Дополнительные разделы,
,,Б1.О.43,Технологии и методы программирования,
,,Б1.О.44,Параллельное программирование,
,,Б2.О.01(У),Ознакомительная практика,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-7.3,,Владеет языками программирования высокого и низкого уровня,-
,,Б1.О.41,Языки программирования,
,,Б1.О.42,Языки программирования. Дополнительные разделы,
,,Б1.О.43,Технологии и методы программирования,
,,Б1.О.44,Параллельное программирование,
,,Б2.О.01(У),Ознакомительная практика,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-8,,,Способен применять методы научных исследований при проведении разработок в области защиты информации в автоматизированных системах;,ОПК
,ОПК-8.1,,Применяет методы научных исследований при проведении разработок в области обеспечения безопасности автоматизированных систем,-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б1.О.49,Основы научных исследований,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,ФТД.01,Основы стеганографии,
,,ФТД.02,Цифровая обработка сигналов,
ОПК-9,,,"Способен решать задачи профессиональной деятельности с учетом текущего состояния и тенденций развития информационных технологий, средств технической защиты информации, сетей и систем передачи информации;",ОПК
,ОПК-9.1,,Решает задачи профессиональной деятельности с учетом текущего состояния и тенденций развития информационных технологий,-
,,Б1.О.07,Защита информации от утечки по техническим каналам,
,,Б1.О.39,Информационные технологии,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-9.2,,Имеет представление о текущем состоянии и тенденциях развития средств технической защиты информации,-
,,Б1.О.07,Защита информации от утечки по техническим каналам,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-9.3,,Имеет представление о текущем состоянии и тенденциях развития методов защиты сетей и систем передачи информации,-
,,Б1.О.09,Сети и системы передачи информации,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-10,,,Способен использовать средства криптографической защиты информации при решении задач профессиональной деятельности;,ОПК
,ОПК-10.1,,Анализирует тенденции развития методов и средств криптографической защиты информации,-
,,Б1.О.08,Методы и средства криптографической защиты информации,
,,Б1.О.14,Криптографические протоколы,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,ФТД.01,Основы стеганографии,
,ОПК-10.2,,Использует средства криптографической защиты информации при решении задач профессиональной деятельности,-
,,Б1.О.08,Методы и средства криптографической защиты информации,
,,Б1.О.14,Криптографические протоколы,
