-,-,-,Форма контроля,,,,,,,з.е.,Итого акад.часов,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,ДКР,Др,Факт,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.В.09,Основы вычислительного эксперимента,,6,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,95
+,Б1.В.10,Информационная безопасность и защита информации,,5,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.В.11,Разностные методы,,6,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,95
+,Б1.В.12,Нечеткая логика и ее приложения,,6,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,95
+,Б1.В.13,Методика обучения математике,8,,,,,,,3,108,18,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,,54,36,95
+,Б1.В.14,Аналитическая механика,,4,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.В.15,Основы профилактики коррупции,,8,,,,,,2,72,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,98
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,,7,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,
+,Б1.В.ДВ.01.01,Теория рисков,,7,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,95
-,Б1.В.ДВ.01.02,Численная линейная алгебра,,7,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,95
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,7,,,,,,,5,180,54,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,,,,,,,,
+,Б1.В.ДВ.02.01,Математика сложных процессов,7,,,,,,,5,180,54,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,,,,,,,,95
-,Б1.В.ДВ.02.02,Нейронные сети и их приложения,7,,,,,,,5,180,54,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,,,,,,,,95
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,8,,,,,,,4,144,54,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,
+,Б1.В.ДВ.03.01,Дискретный гармонический анализ,8,,,,,,,4,144,54,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,95
-,Б1.В.ДВ.03.02,Механика сплошной среды,8,,,,,,,4,144,54,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,95
+,Б1.В.ДВ.04,Дисциплины по выбору Б1.В.ДВ.4,8,,,,,,,5,180,54,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,
+,Б1.В.ДВ.04.01,Основы компьютерной алгебры,8,,,,,,,5,180,54,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,95
