Номер,Аббревиатура,Название кафедры
384,ПРиК_ИППС,Психологии развития и консультирования (ПРиК_ИППС)
385,КД_ИАД,"Кафедра ""Дизайн"" (КД_ИАД)"
386,ФЕО_ИЦММ,Кафедра фундаментального естественнонаучного образования (ФЕО_ИЦММ)
387,Б_МБСиК,"Базовая кафедра ""Медико-биологические системы и комплексы"" (Б_МБСиК)"
388,РЯиРК_ИФИЯК,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК)
389,ИСУ_ИКИТ,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
390,ИБCDIO_ИЦММ,Кафедра инженерного бакалавриата СDIO (ИБCDIO_ИЦММ)
391,ОМ_ИЦММ,Кафедра общей металлургии (ОМ_ИЦММ)
392,ПОНГК_ИНГ,Базовая кафедра проектирования объектов нефтегазового комплекса (ПОНГК_ИНГ)
393,Р_СФУ,Базовая кафедра радиохимии (Р_СФУ)
394,Б-СБРФ_ИЭУП,(ликвидирована) Базовая кафедра  Сбербанка России (Б-СБРФ_ИЭУП)
395,Б-ЗСТМЛ_ИФББ,Базовая кафедра защита и современные технологии мониторинга лесов (Б-ЗСТМЛ_ИФББ)
397,ФВ_ЛПИ,(ликвидирована)Кафедра физического воспитания (ФВ_ЛПИ)
398,РЯиЛ_ЛПИ,"(ликвидирована)Кафедра русского языка,литературы  и истории (РЯиЛ_ЛПИ)"
399,ИЯ_ЛПИ,(ликвидирована)Кафедра иностранных языков (ИЯ_ЛПИ)
400,ВМиИ_ЛПИ,"Кафедра высшей математики, информатики и естествознания (ВМиИ_ЛПИ)"
402,П_ЛПИ,Кафедра педагогики (П_ЛПИ)
403,ПРЛ_ЛПИ,Кафедра психологии развития личности (ПРЛ_ЛПИ)
404,СОТ_ИППС,Кафедра современных образовательных технологий (СОТ_ИППС)
405,ТЭРТ_ПИ,Кафедра техногенных и экологических рисков в техносфере (ТЭРТ_ПИ)
406,РЭНГМ_ИНГ,Базовая кафедра разработки и эксплуатации нефтяных и газовых месторождений (РЭНГМ_ИНГ)
407,ПиПБ_ИНГ,Базовая кафедра пожарной и промышленной безопасности (ПиПБ_ИНГ)
408,ФП_СШФ,Кафедра фундаментальной подготовки (ФП_СШФ)
409,ГГЭСиЭС_СШФ,"Кафедра гидроэнергетики, гидроэлектростанций, электроэнергетических систем и электрических сетей (ГГЭСиЭС_СШФ)"
410,ГС_СШФ,(ликвидирована) Кафедра гидротехнических сооружений (ГС_СШФ)
411,ГМ_СШФ,(ликвидирована) Кафедра гидравлических машин (ГМ_СШФ)
412,ГД_ХТИ,(ликвидирована) Кафедра гуманитарных дисциплин (ГД_ХТИ)
413,ПИМиЕНД_ХТИ,"Кафедра прикладной информатики, математики и естественнонаучных дисциплин ПИМиЕНД_ХТИ)"
414,АТиМ_ХТИ,Кафедра автомобильного транспорта и машиносторения (АТиМ_ХТИ)
415,С_ХТИ,Кафедра строительства (С_ХТИ)
416,Э_ХТИ,Кафедра электроэнергетики (Э_ХТИ)
417,ЭиМ_ХТИ,(ликвидирована) Кафедра экономики и менеджмента (ЭиМ_ХТИ)
418,ПОНОП,Проектный офис новых образовательных практик
419,ТГЯиМК_ОИЯ,Кафедра теории германских языков и межкультурной коммуникации 
420,РЯиПЛ_ОИЯ,Кафедра романских языков и прикладной лингвистики
421,ВШАС_ПИ,Базовая кафедра высшей школы автомобильного сервиса (ВШАС_ПИ)
422,ВШРМ_ИГ,Базовая кафедра высшей школы ресторанного менеджмента (ВШРМ_ИГ) 
423,СРС_ВИИ,Базовая кафедра специальных радиотехнических систем (СРС_ВИИ)
425,СИАИ_ИСИА,Кафедра северных и арктических исследований (СИАИ_ИСИА)
426,ВШГ_ИГ,"Базовая кафедра ""Высшая школа гастрономии от INSTITUT PAUL BOCUSE"""
427,Б-АТРР_ИЭУП,(ликвидирована) Базовая кафедра антимонопольного и тарифного регулирования рынков
428,ФиЯК_ЛПИ,Кафедра филологии и языковой коммуникации
429,БД_ЛПИ,Кафедра базовых дисциплин
430,ПИ_ИКИТ,Кафедра прикладной информатики
431,ГиБ_ИФББТ,Кафедра геномики и биоинформатики
433,БУиС_ИЭГУиФ,Кафедра бухгалтерского учета и статистики
434,ФиУР_ИЭГУиФ,Кафедра финансов и управления рисками
435,ТЭ_ИЭГУиФ,Кафедра теоретической экономики
436,СЭП_ИЭГУиФ,Кафедра социально-экономического планирования
437,УЧР_ИЭГУиФ,Кафедра управления человеческими ресурсами
438,МиУЭ__ИЭГУиФ,Кафедра международной и управленческой экономики
439,Б-ЦФТСР_ИЭГУиФ,Базовая кафедра цифровых финансовых технологий Сбербанка России
440,Б-АиТРР ФАС_ИЭГУиФ,Базовая кафедра антимонопольного и тарифного регулирования рынков ФАС
441,ЦТУ_ИУБП,Кафедра цифровых технологий управления
442,МиМА_ИУБП,Кафедра маркетинга и международного администрирования
